taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Zavarzinella	0	0.000037499105598036725	31.5	0.16666666666666666	0.5206349206349206	1.7646031899503751	Zavarzinella
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.06492093753299118	0.1019325368649326	33	0.17613378684807257	0.5211864406779662	0.6507327297336546	Romboutsia
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.004048621919766806	0.0031479109360653583	16	0.17807539682539683	0.5211864406779662	-0.3614486625722148	Enterococcus
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0003467478891275155	0.00007684653020886993	16.5	0.17891156462585034	0.5211864406779662	-1.9702320203191055	Ruminococcaceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Aminobacter	0	0.00004178698797963342	29	0.1875	0.5211864406779662	1.876560311683525	Aminobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Rickettsiellales;f__Rickettsiellaceae;g__Aquicella	0	0.00000929647103548293	29	0.1875	0.5211864406779662	0.6730536520748365	Aquicella
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Incertae_Sedis	0	0.00001113605476641139	29	0.1875	0.5211864406779662	0.7757440064886725	Caldilineaceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Lysobacter	0	0.00016356796252183645	29	0.1875	0.5211864406779662	3.518412545928282	Lysobacter
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0	0.0000493199131050846	29	0.1875	0.5211864406779662	2.054384241199035	Methanomassiliicoccus
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloparacoccus	0	0.000012296106894995072	29	0.1875	0.5211864406779662	0.8369339815881824	Methyloparacoccus
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Polymorphobacter	0	0.000013463912660416664	29	0.1875	0.5211864406779662	0.8960183363891292	Polymorphobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	0	0.00006802213526869211	29	0.1875	0.5211864406779662	2.4194146783445936	Shewanella
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SJA-15;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000026712423888036384	29	0.1875	0.5211864406779662	1.4372663739993081	SJA-15 (Incertae Sedis)
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Incertae_Sedis	0	0.00002200071659217909	29	0.1875	0.5211864406779662	1.267111359210758	Vicinamibacteraceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.00014523843971333297	0	19.5	0.2	0.5512605042016807	-3.3627478175642875	Lactococcus
