#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
a3354e31d85e069c4f9790692d340cd2	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	177	0	0	0	0	0	0
0c166e629f0a5d7021647ef712e4774e	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424
9bd6f8619edcb7f0091aeaf6f08bc0a9	0	0	0	0	0	0	0	177	0	0	19	24	0	51	0	0	0	11	0	0	0	103	0	0	0	0	52	0	0	0	0	0	0	0	0	0
c54c6cac78d65dc2ac76858a7ba00f2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0
a85ffb90cf03fc3e5baf6b98d0c6cc2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fdc552aa1e9a00f577f8d657555b575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5a46325087ab0cb40c8974a88bf9fb88	0	0	0	0	0	0	0	16	0	0	148	0	0	128	0	0	0	13	0	0	0	0	82	0	0	0	0	34	0	0	0	0	0	0	0	0
a7c0269fda7eb902ce0557ace7abe464	0	0	0	0	0	0	17	227	0	0	36	34	0	57	0	0	0	6	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
ba1e3f0141c4d62b33ce0f4aab67e09e	0	0	0	0	0	0	187	5	0	0	0	24	0	0	0	11	0	0	0	0	5	0	0	25	0	0	13	0	0	0	0	0	0	0	0	130
5c061dc8bafe80b5767222e204384886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	89	0	0	0	0	131	0	0	0	0	148	0	0	0	0	0
